Timestamp,Source_IP,Bytes_Sent,HTTP_Status,Latency_ms
2026-03-01 12:08:15,192.168.1.29,2834,5,37
2026-03-01 12:00:45,192.168.1.14,513,9,41
2026-03-01 12:04:27,192.168.1.29,1754,5,19
2026-03-01 12:04:42,192.168.1.17,1228,5,34
2026-03-01 12:07:49,192.168.1.11,1325,9,39
2026-03-01 12:02:14,192.168.1.15,2459,5,30
2026-03-01 12:03:04,192.168.1.10,1770,5,30
2026-03-01 12:08:40,192.168.1.28,1674,9,19
2026-03-01 12:03:21,192.168.1.26,687,5,24
2026-03-01 12:06:10,192.168.1.14,2120,5,24
2026-03-01 12:02:36,192.168.1.29,1551,5,27
2026-03-01 12:09:26,192.168.1.12,2395,5,34
2026-03-01 12:08:01,192.168.1.11,1090,5,25
2026-03-01 12:08:47,192.168.1.11,1891,9,10
2026-03-01 12:08:57,192.168.1.28,2056,9,45
2026-03-01 12:05:43,192.168.1.24,2270,5,22
2026-03-01 12:02:44,192.168.1.28,2385,9,37
2026-03-01 12:09:42,192.168.1.14,795,9,29
2026-03-01 12:05:09,192.168.1.27,2183,5,37
2026-03-01 12:03:45,192.168.1.26,2733,5,17
2026-03-01 12:00:51,192.168.1.30,1412,9,37
2026-03-01 12:07:10,192.168.1.16,1547,9,13
2026-03-01 12:00:51,192.168.1.11,961,5,12
2026-03-01 12:02:39,192.168.1.23,2686,5,37
2026-03-01 12:01:27,192.168.1.18,1335,9,35
2026-03-01 12:09:07,192.168.1.17,1374,5,27
2026-03-01 12:04:52,192.168.1.12,2019,5,37
2026-03-01 12:01:46,192.168.1.16,622,9,20
2026-03-01 12:00:26,192.168.1.19,940,5,29
2026-03-01 12:06:07,192.168.1.21,1402,9,43
2026-03-01 12:09:12,192.168.1.20,1850,9,19
2026-03-01 12:06:42,192.168.1.11,2332,9,43
2026-03-01 12:04:16,192.168.1.20,887,9,23
2026-03-01 12:01:25,192.168.1.12,1887,5,22
2026-03-01 12:06:17,192.168.1.23,1887,5,43
2026-03-01 12:04:16,192.168.1.24,2899,5,11
2026-03-01 12:08:39,192.168.1.30,1664,5,43
2026-03-01 12:02:28,192.168.1.10,1246,5,20
2026-03-01 12:03:39,192.168.1.18,2638,5,20
2026-03-01 12:01:46,192.168.1.15,1061,9,14
2026-03-01 12:02:46,192.168.1.13,2563,9,27
2026-03-01 12:05:28,192.168.1.28,2361,9,13
2026-03-01 12:05:54,192.168.1.16,1751,5,26
2026-03-01 12:08:54,192.168.1.18,2824,9,19
2026-03-01 12:08:05,192.168.1.14,2027,9,40
2026-03-01 12:00:30,192.168.1.18,2666,5,39
2026-03-01 12:03:49,192.168.1.22,2453,9,33
2026-03-01 12:05:02,192.168.1.11,2728,9,27
2026-03-01 12:05:08,192.168.1.24,2262,5,18
2026-03-01 12:00:49,192.168.1.23,976,9,16
2026-03-01 12:04:50,192.168.1.26,993,9,45
2026-03-01 12:02:03,192.168.1.23,1780,5,19
2026-03-01 12:09:25,192.168.1.13,2575,9,21
2026-03-01 12:04:35,192.168.1.28,883,5,40
2026-03-01 12:01:16,192.168.1.11,1800,5,18
2026-03-01 12:05:07,192.168.1.12,1926,9,13
2026-03-01 12:03:27,192.168.1.30,1790,9,34
2026-03-01 12:01:07,192.168.1.27,2773,9,26
2026-03-01 12:01:47,192.168.1.19,2179,5,44
2026-03-01 12:01:16,192.168.1.22,2940,5,15
2026-03-01 12:02:51,192.168.1.11,2830,5,18
2026-03-01 12:01:00,192.168.1.21,1991,9,11
2026-03-01 12:07:20,192.168.1.10,1944,5,15
2026-03-01 12:08:55,192.168.1.17,1985,5,31
2026-03-01 12:01:32,192.168.1.27,2262,9,16
2026-03-01 12:07:40,192.168.1.15,1885,5,26
2026-03-01 12:02:36,192.168.1.21,2059,5,37
2026-03-01 12:04:26,192.168.1.25,2757,5,41
2026-03-01 12:02:26,192.168.1.27,2450,5,29
2026-03-01 12:06:29,192.168.1.13,937,5,32
2026-03-01 12:04:39,192.168.1.26,1863,5,37
2026-03-01 12:08:41,192.168.1.19,1680,5,29
2026-03-01 12:08:52,192.168.1.29,2579,9,24
2026-03-01 12:01:06,192.168.1.16,2397,9,40
2026-03-01 12:00:44,192.168.1.27,1533,5,37
2026-03-01 12:02:54,192.168.1.20,1075,9,42
2026-03-01 12:01:06,192.168.1.21,835,5,41
2026-03-01 12:07:02,192.168.1.11,2030,5,45
2026-03-01 12:00:54,192.168.1.25,1525,9,34
2026-03-01 12:07:27,192.168.1.27,2293,5,39
2026-03-01 12:04:25,192.168.1.17,2106,9,39
2026-03-01 12:08:31,192.168.1.10,900,5,24
2026-03-01 12:01:33,192.168.1.11,2778,5,17
2026-03-01 12:06:37,192.168.1.22,1613,9,11
2026-03-01 12:07:25,192.168.1.21,2870,9,22
2026-03-01 12:04:56,192.168.1.13,2135,9,36
2026-03-01 12:00:24,192.168.1.26,1345,9,39
2026-03-01 12:09:19,192.168.1.20,2357,9,12
2026-03-01 12:07:30,192.168.1.19,1181,9,16
2026-03-01 12:01:53,192.168.1.19,763,5,16
2026-03-01 12:01:40,192.168.1.12,1381,9,43
2026-03-01 12:08:50,192.168.1.27,2948,9,16
2026-03-01 12:06:33,192.168.1.26,1616,9,32
2026-03-01 12:06:42,192.168.1.28,2478,5,20
2026-03-01 12:08:06,192.168.1.12,2404,5,35
2026-03-01 12:08:49,192.168.1.27,842,5,15
2026-03-01 12:00:10,192.168.1.29,1767,5,13
2026-03-01 12:07:43,192.168.1.21,2019,5,43
2026-03-01 12:00:40,192.168.1.14,2510,5,17
2026-03-01 12:04:41,192.168.1.13,2159,5,42
2026-03-01 12:09:02,192.168.1.19,1957,9,13
2026-03-01 12:07:52,192.168.1.22,806,5,27
2026-03-01 12:07:39,192.168.1.13,2463,9,32
2026-03-01 12:06:36,192.168.1.23,1762,9,39
2026-03-01 12:09:07,192.168.1.15,2219,9,37
2026-03-01 12:05:21,192.168.1.18,2814,9,16
2026-03-01 12:09:35,192.168.1.29,1279,5,12
2026-03-01 12:06:20,192.168.1.18,2388,9,28
2026-03-01 12:01:48,192.168.1.10,2648,9,30
2026-03-01 12:04:13,192.168.1.15,2494,5,32
2026-03-01 12:06:14,192.168.1.10,2399,9,35
2026-03-01 12:09:18,192.168.1.13,1580,9,35
2026-03-01 12:07:27,192.168.1.13,1193,5,11
2026-03-01 12:05:46,192.168.1.24,2254,5,39
2026-03-01 12:07:23,192.168.1.26,2645,9,39
2026-03-01 12:06:23,192.168.1.23,1759,5,23
2026-03-01 12:09:56,192.168.1.26,2595,5,22
2026-03-01 12:00:02,192.168.1.13,2739,5,36
2026-03-01 12:08:57,192.168.1.10,2622,9,20
2026-03-01 12:07:45,192.168.1.22,2719,9,28
2026-03-01 12:02:07,192.168.1.30,2792,5,19
2026-03-01 12:06:27,192.168.1.14,1247,5,41
2026-03-01 12:06:21,192.168.1.27,1821,5,31
2026-03-01 12:09:07,192.168.1.24,1462,9,34
2026-03-01 12:05:17,192.168.1.15,2008,9,17
2026-03-01 12:06:41,192.168.1.11,1976,5,22
2026-03-01 12:05:00,192.168.1.21,2360,9,28
2026-03-01 12:07:56,192.168.1.24,1917,5,45
2026-03-01 12:06:11,192.168.1.13,2116,9,35
2026-03-01 12:03:23,192.168.1.27,2864,5,42
2026-03-01 12:00:42,192.168.1.26,2933,5,10
2026-03-01 12:06:47,192.168.1.24,2473,5,23
2026-03-01 12:00:53,192.168.1.20,1331,5,39
2026-03-01 12:01:09,192.168.1.29,1539,5,33
2026-03-01 12:02:48,192.168.1.22,2680,5,12
2026-03-01 12:09:17,192.168.1.19,2985,5,17
2026-03-01 12:09:34,192.168.1.26,1361,9,41
2026-03-01 12:08:45,192.168.1.13,914,5,37
2026-03-01 12:09:11,192.168.1.24,717,9,13
2026-03-01 12:04:14,192.168.1.11,2591,9,10
2026-03-01 12:06:23,192.168.1.19,873,5,33
2026-03-01 12:03:17,192.168.1.19,2832,9,35
2026-03-01 12:00:56,192.168.1.10,651,9,16
2026-03-01 12:00:02,192.168.1.16,1303,5,12
2026-03-01 12:04:19,192.168.1.17,1714,5,33
2026-03-01 12:01:42,192.168.1.26,1186,9,12
2026-03-01 12:02:34,192.168.1.12,1115,5,10
2026-03-01 12:03:43,192.168.1.10,1022,5,11
2026-03-01 12:04:11,192.168.1.23,856,9,16
2026-03-01 12:04:32,192.168.1.22,845,9,41
2026-03-01 12:03:31,192.168.1.22,2115,9,31
2026-03-01 12:03:33,192.168.1.16,2187,5,13
2026-03-01 12:03:33,192.168.1.26,1751,5,16
2026-03-01 12:06:05,192.168.1.30,1698,9,45
2026-03-01 12:09:14,192.168.1.20,1857,9,24
2026-03-01 12:04:18,192.168.1.26,2890,9,23
2026-03-01 12:00:18,192.168.1.20,1509,9,19
2026-03-01 12:02:11,192.168.1.18,1098,9,33
2026-03-01 12:03:39,192.168.1.19,2814,5,16
2026-03-01 12:07:00,192.168.1.11,2199,5,28
2026-03-01 12:06:36,192.168.1.17,597,5,28
2026-03-01 12:07:35,192.168.1.23,2713,9,41
2026-03-01 12:01:38,192.168.1.13,500,9,30
2026-03-01 12:09:15,192.168.1.27,865,5,23
2026-03-01 12:06:32,192.168.1.19,1416,5,36
2026-03-01 12:04:40,192.168.1.25,2276,9,15
2026-03-01 12:05:42,192.168.1.10,1509,5,26
2026-03-01 12:07:54,192.168.1.20,1403,9,39
2026-03-01 12:04:10,192.168.1.30,2989,5,38
2026-03-01 12:01:48,192.168.1.14,2898,9,18
2026-03-01 12:05:51,192.168.1.25,2643,5,20
2026-03-01 12:19:02,192.168.1.22,1033,5,41
2026-03-01 12:17:00,192.168.1.22,1393,5,36
2026-03-01 12:19:53,192.168.1.26,905,9,33
2026-03-01 12:17:07,192.168.1.17,2377,9,12
2026-03-01 12:18:07,192.168.1.14,1044,9,24
2026-03-01 12:14:41,192.168.1.24,1200,9,42
2026-03-01 12:14:50,192.168.1.24,1745,9,35
2026-03-01 12:18:11,192.168.1.21,2814,5,38
2026-03-01 12:10:11,192.168.1.28,1499,9,29
2026-03-01 12:11:24,192.168.1.13,2484,5,17
2026-03-01 12:13:22,192.168.1.16,1244,9,26
2026-03-01 12:12:46,192.168.1.10,2065,9,29
2026-03-01 12:11:16,192.168.1.27,2933,5,30
2026-03-01 12:18:41,192.168.1.11,764,9,10
2026-03-01 12:18:05,192.168.1.26,619,5,25
2026-03-01 12:14:49,192.168.1.25,633,5,18
2026-03-01 12:14:07,192.168.1.11,2598,9,23
2026-03-01 12:13:25,192.168.1.12,2844,5,38
2026-03-01 12:13:36,192.168.1.25,2893,5,17
2026-03-01 12:11:41,192.168.1.22,1646,9,25
2026-03-01 12:10:36,192.168.1.26,1237,9,14
2026-03-01 12:18:03,192.168.1.18,966,5,37
2026-03-01 12:13:43,192.168.1.24,2850,5,12
2026-03-01 12:19:09,192.168.1.17,755,5,26
2026-03-01 12:12:58,192.168.1.25,1780,9,34
2026-03-01 12:11:42,192.168.1.16,672,5,22
2026-03-01 12:17:55,192.168.1.10,2063,9,24
2026-03-01 12:14:28,192.168.1.28,1339,5,21
2026-03-01 12:14:22,192.168.1.18,2306,5,30
2026-03-01 12:15:51,192.168.1.13,1824,5,36
2026-03-01 12:16:14,192.168.1.12,1031,9,44
2026-03-01 12:18:01,192.168.1.30,1941,5,35
2026-03-01 12:18:53,192.168.1.18,2562,5,15
2026-03-01 12:15:36,192.168.1.15,2204,5,17
2026-03-01 12:17:45,192.168.1.24,744,5,16
2026-03-01 12:14:24,192.168.1.27,2777,9,29
2026-03-01 12:12:46,192.168.1.28,2369,5,29
2026-03-01 12:12:53,192.168.1.21,2212,5,19
2026-03-01 12:15:27,192.168.1.19,2841,9,16
2026-03-01 12:15:34,192.168.1.16,2603,9,16
2026-03-01 12:19:54,192.168.1.19,1113,9,28
2026-03-01 12:13:47,192.168.1.12,564,5,16
2026-03-01 12:12:46,192.168.1.13,969,5,19
2026-03-01 12:16:06,192.168.1.20,1578,9,36
2026-03-01 12:14:16,192.168.1.22,2017,9,23
2026-03-01 12:15:59,192.168.1.20,1568,9,35
2026-03-01 12:14:20,192.168.1.12,1064,9,27
2026-03-01 12:10:05,192.168.1.14,2979,5,43
2026-03-01 12:13:08,192.168.1.14,1214,5,19
2026-03-01 12:18:22,192.168.1.26,896,5,36
2026-03-01 12:16:51,192.168.1.11,2721,9,14
2026-03-01 12:14:11,192.168.1.23,1403,5,25
2026-03-01 12:18:53,192.168.1.27,2272,5,33
2026-03-01 12:18:53,192.168.1.16,1678,5,18
2026-03-01 12:16:22,192.168.1.11,2945,5,45
2026-03-01 12:18:26,192.168.1.24,2690,9,13
2026-03-01 12:16:01,192.168.1.22,2621,9,39
2026-03-01 12:14:49,192.168.1.30,1740,5,19
2026-03-01 12:19:22,192.168.1.19,2322,5,40
2026-03-01 12:16:43,192.168.1.15,2201,5,11
2026-03-01 12:13:31,192.168.1.29,2112,5,32
2026-03-01 12:19:23,192.168.1.20,2869,9,32
2026-03-01 12:14:27,192.168.1.23,2723,9,31
2026-03-01 12:14:48,192.168.1.29,2640,5,34
2026-03-01 12:16:06,192.168.1.25,2778,9,30
2026-03-01 12:17:17,192.168.1.23,1838,5,26
2026-03-01 12:14:12,192.168.1.24,1228,9,29
2026-03-01 12:19:01,192.168.1.24,2209,5,14
2026-03-01 12:17:59,192.168.1.29,1182,9,38
2026-03-01 12:18:59,192.168.1.18,707,9,22
2026-03-01 12:12:01,192.168.1.13,2273,9,29
2026-03-01 12:13:36,192.168.1.10,1719,9,30
2026-03-01 12:14:08,192.168.1.12,2263,9,45
2026-03-01 12:10:00,192.168.1.30,1479,5,11
2026-03-01 12:19:20,192.168.1.21,2148,9,35
2026-03-01 12:14:40,192.168.1.26,2423,9,18
2026-03-01 12:15:31,192.168.1.24,2444,9,24
2026-03-01 12:11:14,192.168.1.15,2388,9,26
2026-03-01 12:19:02,192.168.1.23,1957,5,40
2026-03-01 12:16:46,192.168.1.11,1799,9,35
2026-03-01 12:12:10,192.168.1.19,1820,5,42
2026-03-01 12:18:23,192.168.1.30,1627,9,34
2026-03-01 12:11:43,192.168.1.20,2761,9,31
2026-03-01 12:18:08,192.168.1.11,2906,9,11
2026-03-01 12:11:51,192.168.1.13,1454,9,30
2026-03-01 12:14:50,192.168.1.23,2015,9,22
2026-03-01 12:12:29,192.168.1.23,1079,5,25
2026-03-01 12:10:02,192.168.1.17,1435,5,30
2026-03-01 12:18:22,192.168.1.26,2117,5,33
2026-03-01 12:14:06,192.168.1.30,1712,9,24
2026-03-01 12:17:00,192.168.1.16,1777,9,23
2026-03-01 12:10:34,192.168.1.29,2023,5,35
2026-03-01 12:17:51,192.168.1.30,1232,9,20
2026-03-01 12:13:03,192.168.1.30,2665,5,20
2026-03-01 12:19:06,192.168.1.29,953,5,26
2026-03-01 12:16:23,192.168.1.15,1709,9,30
2026-03-01 12:12:29,192.168.1.12,2802,5,40
2026-03-01 12:14:53,192.168.1.15,1657,9,23
2026-03-01 12:14:52,192.168.1.27,1040,5,20
2026-03-01 12:18:11,192.168.1.21,2768,5,40
2026-03-01 12:14:21,192.168.1.15,752,9,34
2026-03-01 12:15:09,192.168.1.23,1465,5,18
2026-03-01 12:18:12,192.168.1.25,1743,5,35
2026-03-01 12:17:10,192.168.1.22,2357,9,26
2026-03-01 12:19:56,192.168.1.11,2750,9,34
2026-03-01 12:18:32,192.168.1.11,552,9,15
2026-03-01 12:12:49,192.168.1.24,2930,5,43
2026-03-01 12:15:58,192.168.1.16,1583,5,20
2026-03-01 12:18:35,192.168.1.16,2346,9,23
2026-03-01 12:18:43,192.168.1.28,2588,5,28
2026-03-01 12:15:03,192.168.1.20,2121,9,36
2026-03-01 12:12:49,192.168.1.13,2437,5,31
2026-03-01 12:19:52,192.168.1.30,651,5,39
2026-03-01 12:16:09,192.168.1.16,2645,5,42
2026-03-01 12:19:44,192.168.1.19,2935,9,32
2026-03-01 12:11:28,192.168.1.30,2425,9,18
2026-03-01 12:19:16,192.168.1.13,2429,9,31
2026-03-01 12:12:59,192.168.1.29,2226,5,16
2026-03-01 12:19:03,192.168.1.23,1381,9,27
2026-03-01 12:17:23,192.168.1.20,2453,5,13
2026-03-01 12:11:03,192.168.1.12,2724,9,24
2026-03-01 12:11:31,192.168.1.27,2617,5,12
2026-03-01 12:19:22,192.168.1.14,952,9,31
2026-03-01 12:18:56,192.168.1.18,2824,9,38
2026-03-01 12:19:07,192.168.1.17,778,5,31
2026-03-01 12:18:57,192.168.1.28,2512,9,37
2026-03-01 12:15:39,192.168.1.22,1546,9,22
2026-03-01 12:17:52,192.168.1.27,571,5,22
2026-03-01 12:16:59,192.168.1.26,1781,9,41
2026-03-01 12:12:19,192.168.1.15,669,9,34
2026-03-01 12:11:27,192.168.1.10,779,9,40
2026-03-01 12:19:54,192.168.1.21,514,5,12
2026-03-01 12:17:03,192.168.1.12,906,9,22
2026-03-01 12:10:50,192.168.1.19,1532,9,20
2026-03-01 12:17:14,192.168.1.12,1390,5,25
2026-03-01 12:14:05,192.168.1.12,2740,5,14
2026-03-01 12:11:27,192.168.1.11,2664,5,44
2026-03-01 12:19:02,192.168.1.16,1951,9,31
2026-03-01 12:19:39,192.168.1.21,1720,9,27
2026-03-01 12:12:10,192.168.1.14,737,5,36
2026-03-01 12:11:23,192.168.1.26,1241,5,35
2026-03-01 12:16:48,192.168.1.23,1004,9,37
2026-03-01 12:11:56,192.168.1.21,855,9,32
2026-03-01 12:18:59,192.168.1.22,803,9,32
2026-03-01 12:10:26,192.168.1.14,550,9,11
2026-03-01 12:18:21,192.168.1.26,596,5,10
2026-03-01 12:14:01,192.168.1.25,752,5,42
2026-03-01 12:12:30,192.168.1.16,613,9,12
2026-03-01 12:19:27,192.168.1.20,1862,9,26
2026-03-01 12:17:24,192.168.1.17,1648,5,29
2026-03-01 12:10:24,192.168.1.20,724,9,29
2026-03-01 12:15:54,192.168.1.12,884,5,41
2026-03-01 12:12:30,192.168.1.24,1359,9,28
2026-03-01 12:13:43,192.168.1.14,2356,9,42
2026-03-01 12:16:05,192.168.1.10,959,5,25
2026-03-01 12:13:37,192.168.1.19,1072,5,31
2026-03-01 12:15:17,192.168.1.10,2522,9,27
2026-03-01 12:13:05,192.168.1.12,1054,5,33
2026-03-01 12:16:37,192.168.1.30,600,5,25
2026-03-01 12:11:05,192.168.1.15,924,5,24
2026-03-01 12:15:09,192.168.1.22,985,5,13
2026-03-01 12:14:04,192.168.1.16,1514,5,37
2026-03-01 12:12:13,192.168.1.13,1229,5,11
2026-03-01 12:13:21,192.168.1.16,1737,9,42
2026-03-01 12:11:52,192.168.1.18,1930,5,20
2026-03-01 12:16:04,192.168.1.15,1956,9,13
2026-03-01 12:16:36,192.168.1.23,2269,9,23
2026-03-01 12:17:33,192.168.1.27,978,5,34
2026-03-01 12:10:26,192.168.1.26,1519,9,33
2026-03-01 12:17:00,192.168.1.20,1260,9,14
2026-03-01 12:10:20,192.168.1.18,742,9,42
2026-03-01 12:18:57,192.168.1.16,1028,9,22
2026-03-01 12:18:20,192.168.1.23,2860,5,25
2026-03-01 12:19:04,192.168.1.10,1041,9,33
2026-03-01 12:13:54,192.168.1.24,1016,5,44
2026-03-01 12:17:25,192.168.1.18,2137,5,16
2026-03-01 12:17:40,192.168.1.20,1821,5,39
2026-03-01 12:16:10,192.168.1.27,2922,5,45
2026-03-01 12:11:40,192.168.1.28,2366,5,39
2026-03-01 12:19:08,192.168.1.17,2468,5,21
2026-03-01 12:13:42,192.168.1.29,2614,9,37
2026-03-01 12:19:02,192.168.1.28,2186,9,15
2026-03-01 12:18:49,192.168.1.12,1916,9,14
2026-03-01 12:19:12,192.168.1.24,1168,9,10
2026-03-01 12:10:41,192.168.1.18,2667,5,13
2026-03-01 12:17:36,192.168.1.24,1346,9,38
2026-03-01 12:16:09,192.168.1.12,2003,5,40
2026-03-01 12:18:15,192.168.1.28,1886,5,21
2026-03-01 12:11:06,192.168.1.12,824,5,30
2026-03-01 12:10:53,192.168.1.18,1413,9,23
2026-03-01 12:14:27,192.168.1.22,1895,9,32
2026-03-01 12:14:20,192.168.1.30,1043,5,31
2026-03-01 12:12:58,192.168.1.19,529,5,15
2026-03-01 12:14:41,192.168.1.21,1357,9,18
2026-03-01 12:14:07,192.168.1.14,2511,9,37
2026-03-01 12:16:52,192.168.1.27,2962,5,16
2026-03-01 12:13:31,192.168.1.27,2542,5,17
2026-03-01 12:17:54,192.168.1.26,826,9,17
2026-03-01 12:11:02,192.168.1.14,831,5,33
2026-03-01 12:17:33,192.168.1.13,732,9,31
2026-03-01 12:17:55,192.168.1.14,824,9,31
2026-03-01 12:18:28,192.168.1.12,1970,5,23
2026-03-01 12:17:28,192.168.1.12,1382,9,13
2026-03-01 12:19:42,192.168.1.10,1556,9,15
2026-03-01 12:16:37,192.168.1.16,2189,5,16
2026-03-01 12:10:13,192.168.1.10,2097,9,10
2026-03-01 12:15:35,192.168.1.19,1810,9,35
2026-03-01 12:18:27,192.168.1.16,2230,9,31
2026-03-01 12:11:19,192.168.1.30,1974,9,13
2026-03-01 12:16:42,192.168.1.15,2110,5,28
2026-03-01 12:10:53,192.168.1.14,2352,5,33
2026-03-01 12:19:27,192.168.1.20,1985,9,36
2026-03-01 12:16:33,192.168.1.21,1694,5,38
2026-03-01 12:18:49,192.168.1.28,2892,9,41
2026-03-01 12:18:03,192.168.1.15,1545,5,42
2026-03-01 12:16:17,192.168.1.11,2210,9,26
2026-03-01 12:14:40,192.168.1.11,649,9,14
2026-03-01 12:13:42,192.168.1.18,1155,9,37
2026-03-01 12:12:02,192.168.1.16,999,5,41
2026-03-01 12:10:15,192.168.1.15,636,5,41
2026-03-01 12:11:02,192.168.1.24,1086,5,19
2026-03-01 12:19:02,192.168.1.12,1908,5,40
2026-03-01 12:10:01,192.168.1.11,974,5,24
2026-03-01 12:19:25,192.168.1.25,1398,5,21
2026-03-01 12:11:13,192.168.1.22,1553,9,21
2026-03-01 12:16:31,192.168.1.24,793,5,32
2026-03-01 12:16:09,192.168.1.27,2766,9,23
2026-03-01 12:13:18,192.168.1.17,1336,5,33
2026-03-01 12:11:57,192.168.1.21,1688,9,35
2026-03-01 12:14:03,192.168.1.16,897,5,35
2026-03-01 12:14:03,192.168.1.24,786,5,15
2026-03-01 12:13:34,192.168.1.18,2981,9,45
2026-03-01 12:12:04,192.168.1.20,1976,9,15
2026-03-01 12:11:30,192.168.1.18,1699,9,14
2026-03-01 12:16:44,192.168.1.26,2851,9,15
2026-03-01 12:14:30,192.168.1.30,1464,5,25
2026-03-01 12:12:19,192.168.1.15,1170,5,21
2026-03-01 12:15:10,192.168.1.17,1633,9,25
2026-03-01 12:15:56,192.168.1.28,1349,5,30
2026-03-01 12:13:06,192.168.1.16,1722,9,18
2026-03-01 12:17:34,192.168.1.23,2083,5,38
2026-03-01 12:11:09,192.168.1.17,1633,9,27
2026-03-01 12:18:26,192.168.1.14,2486,9,16
2026-03-01 12:16:39,192.168.1.30,1038,9,20
2026-03-01 12:17:29,192.168.1.29,2155,5,16
2026-03-01 12:14:22,192.168.1.20,2473,5,35
2026-03-01 12:17:14,192.168.1.26,2354,9,22
2026-03-01 12:16:08,192.168.1.29,1748,5,24
2026-03-01 12:10:19,192.168.1.18,1183,5,11
2026-03-01 12:19:33,192.168.1.19,1845,9,28
2026-03-01 12:16:14,192.168.1.18,1837,5,26
2026-03-01 12:19:34,192.168.1.23,2032,9,13
2026-03-01 12:10:32,192.168.1.26,2916,5,23
2026-03-01 12:11:11,192.168.1.24,2032,9,44
2026-03-01 12:13:33,192.168.1.20,1889,9,23
2026-03-01 12:14:07,192.168.1.23,1215,5,12
2026-03-01 12:17:25,192.168.1.25,1023,9,44
2026-03-01 12:13:28,192.168.1.28,690,9,14
2026-03-01 12:12:25,192.168.1.10,2798,9,22
2026-03-01 12:13:47,192.168.1.17,714,9,35
2026-03-01 12:16:18,192.168.1.25,1588,9,23
2026-03-01 12:14:19,192.168.1.17,1993,5,20
2026-03-01 12:18:42,192.168.1.23,2500,9,31
2026-03-01 12:12:05,192.168.1.12,907,5,16
2026-03-01 12:10:15,192.168.1.11,1150,9,29
2026-03-01 12:11:20,192.168.1.20,1922,9,11
2026-03-01 12:17:03,192.168.1.28,2917,9,25
2026-03-01 12:11:38,192.168.1.21,2296,5,30
2026-03-01 12:11:56,192.168.1.25,2226,5,44
2026-03-01 12:18:56,192.168.1.30,1236,9,39
2026-03-01 12:12:04,192.168.1.29,2950,5,40
2026-03-01 12:18:55,192.168.1.29,2145,9,26
2026-03-01 12:15:18,192.168.1.12,2293,9,27
2026-03-01 12:17:15,192.168.1.14,1671,9,18
2026-03-01 12:18:22,192.168.1.17,2133,5,32
2026-03-01 12:13:59,192.168.1.27,1875,5,39
2026-03-01 12:11:21,192.168.1.27,2362,9,23
2026-03-01 12:18:02,192.168.1.29,2613,5,12
2026-03-01 12:10:35,192.168.1.19,2217,5,14
2026-03-01 12:11:26,192.168.1.21,840,5,43
2026-03-01 12:10:59,192.168.1.28,1648,9,20
2026-03-01 12:12:20,192.168.1.25,2240,9,26
2026-03-01 12:16:55,192.168.1.22,2333,5,37
2026-03-01 12:18:22,192.168.1.28,2486,9,45
2026-03-01 12:18:34,192.168.1.29,2214,5,44
2026-03-01 12:19:22,192.168.1.11,1954,9,17
2026-03-01 12:13:13,192.168.1.13,2832,5,43
2026-03-01 12:14:51,192.168.1.13,774,9,10
2026-03-01 12:24:35,192.168.1.19,619,9,32
2026-03-01 12:26:21,192.168.1.25,1349,9,18
2026-03-01 12:20:07,192.168.1.25,3000,5,25
2026-03-01 12:28:37,192.168.1.29,2920,5,18
